LAST SEEN   TYPE      REASON                    OBJECT                                            MESSAGE
27h         Normal    NodeHasSufficientPID      node/mastervm-centos                              Node mastervm-centos status is now: NodeHasSufficientPID
27h         Normal    SandboxChanged            pod/employee-salary-deployment-79f69bf76f-sn4ps   Pod sandbox changed, it will be killed and re-created.
27h         Normal    SandboxChanged            pod/employee-deployment-94fd8c7cb-ggh8l           Pod sandbox changed, it will be killed and re-created.
27h         Warning   FailedMount               pod/mysql-deploy-84bc6656f8-cmc68                 MountVolume.NodeAffinity check failed for volume "mysql-pv-gce-volume" : error retrieving node: node "workervm-centos" not found
27h         Normal    SandboxChanged            pod/mysql-deploy-84bc6656f8-cmc68                 Pod sandbox changed, it will be killed and re-created.
27h         Normal    SandboxChanged            pod/employee-salary-deployment-79f69bf76f-zjzfb   Pod sandbox changed, it will be killed and re-created.
27h         Normal    SandboxChanged            pod/employee-deployment-94fd8c7cb-l59q8           Pod sandbox changed, it will be killed and re-created.
27h         Normal    Starting                  node/workervm-centos-2                            Starting kube-proxy.
27h         Normal    Pulling                   pod/employee-deployment-94fd8c7cb-l59q8           Pulling image "eshghos/kubernetes-secret:latest"
27h         Normal    Created                   pod/employee-deployment-94fd8c7cb-l59q8           Created container kubernetes-secret
27h         Normal    Pulled                    pod/employee-deployment-94fd8c7cb-l59q8           Successfully pulled image "eshghos/kubernetes-secret:latest" in 610.190538ms
27h         Normal    Started                   pod/employee-deployment-94fd8c7cb-l59q8           Started container kubernetes-secret
27h         Normal    Starting                  node/mastervm-centos                              Starting kube-proxy.
27h         Normal    RegisteredNode            node/workervm-centos                              Node workervm-centos event: Registered Node workervm-centos in Controller
27h         Normal    RegisteredNode            node/mastervm-centos                              Node mastervm-centos event: Registered Node mastervm-centos in Controller
27h         Normal    RegisteredNode            node/workervm-centos-2                            Node workervm-centos-2 event: Registered Node workervm-centos-2 in Controller
27h         Normal    Starting                  node/workervm-centos                              Starting kube-proxy.
27h         Normal    Pulled                    pod/employee-salary-deployment-79f69bf76f-zjzfb   Successfully pulled image "eshghos/kubernetes-salary-service:latest" in 656.23818ms
